Species Name,Location,Tissue Voucher,Specimen Voucher,MB
Trachythyone bouvetensis,South Georgia,MOLAF482,NMV F104801,HM196687
Trachythyone bouvetensis,South Georgia,MOLAF481,NMV F104801,HM196688
Trachythyone bouvetensis,South Georgia,MOLAF484,NMV F105015,HM196689
Trachythyone bouvetensis,South Georgia,MOLAF485,NMV F105015,HM196690
Trachythyone bouvetensis,South Sandwich Islands,MOLAF479,NMV F104994,HM196691
Trachythyone bouvetensis,Ross Sea,MOLG046,MNA 2196,HM196692
Trachythyone bouvetensis,Ross Sea,MOLN154,NIWA 36903,HM196693
Trachythyone bouvetensis,Ross Sea,MOLN187,NIWA 42171,HM196694
Trachythyone bouvetensis,Ross Sea,MOLN181,NIWA 35740,HM196695
Trachythyone bouvetensis,Ross Sea,MOLN155,NIWA 35760,HM196696
Trachythyone bouvetensis,South Shetland Islands,MOLSI041,USNM 1132660,HM196697
Trachythyone bouvetensis,South Shetland Islands,MOLSI061,USNM 1132675,HM196698
Trachythyone bouvetensis,Amundsen Sea,MOLAF790,NMV F168655,HM196699
Trachythyone bouvetensis,Amundsen Sea,MOLAF814,NMV F168654,HM196700
Trachythyone bouvetensis,Ross Sea,MOLN156,NIWA 36716,HM196701
Trachythyone bouvetensis,South Shetland Islands,MOLAF483,NMV F104856,HM196702
Trachythyone bouvetensis,South Shetland Islands,MOLAF780,NMV F168647,HM196703
Trachythyone bouvetensis,South Shetland Islands,MOLSI062,USNM 1132675,HM196704
Trachythyone bouvetensis,South Shetland Islands,MOLSI063,USNM 1132675,HM196705
